Class

Name	PosDeltas	NegDeltas	PosD_na	NegD_nd	Sum_1	Sum_2	Sum_D	N_1	N_2	N_D	Mean_1	Mean_2	Mean_D	StdDev_1	StdDev_2	StdDev_D	Max_1	Max_2	Max_D	99th_1	99th_2	99th_D	97.5th_1	97.5th_2	97.5th_D	95th_1	95th_2	95th_D	90th_1	90th_2	90th_D	75th_1	75th_2	75th_D	50th_1	50th_2	50th_D	Min_1	Min_2	Min_D
NumAttr	124.0	63.0	0.0	0.0	63.0	124.0	61.0	69	82	13.0	0.9130435	1.5121951	0.5991516	1.7467544	2.5397768	0.7930224	9.0	12.0	3.0	7.5	11.5	4.0	5.5	8.0	2.5	4.5	6.0	1.5	3.0	5.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
NumOps	194.0	76.0	0.0	0.0	76.0	194.0	118.0	69	82	13.0	1.1014493	2.3658535	1.2644043	1.5353187	3.8054938	2.270175	5.0	22.0	17.0	5.0	18.0	13.0	5.0	12.0	7.0	4.0	10.0	6.0	4.0	5.0	1.0	1.0	4.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0
NumPubOps	194.0	76.0	0.0	0.0	76.0	194.0	118.0	69	82	13.0	1.1014493	2.3658535	1.2644043	1.5353187	3.8054938	2.270175	5.0	22.0	17.0	5.0	18.0	13.0	5.0	12.0	7.0	4.0	10.0	6.0	4.0	5.0	1.0	1.0	4.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0
Setters	40.0	0.0	0.0	0.0	0.0	40.0	40.0	69	82	13.0	0.0	0.4878049	0.4878049	0.0	1.7932928	1.7932928	0.0	11.0	11.0	0.0	9.0	9.0	0.0	6.0	6.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Getters	57.0	12.0	0.0	0.0	12.0	57.0	45.0	69	82	13.0	0.17391305	0.69512194	0.5212089	0.68506163	1.7333976	1.048336	5.0	10.0	5.0	3.5	8.0	4.5	1.5	5.5	4.0	1.0	4.5	3.5	0.5	2.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nesting	2.0	0.0	0.0	0.0	0.0	2.0	2.0	69	82	13.0	0.0	0.024390243	0.024390243	0.0	0.15520673	0.15520673	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IFImpl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69	82	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NOC	5.0	5.0	0.0	0.0	5.0	5.0	0.0	69	82	13.0	0.072463766	0.06097561	-0.0114881545	0.4946431	0.45399627	-0.04064682	4.0	4.0	0.0	2.5	2.5	0.0	0.5	0.0	-0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NumDesc	5.0	5.0	0.0	0.0	5.0	5.0	0.0	69	82	13.0	0.072463766	0.06097561	-0.0114881545	0.4946431	0.45399627	-0.04064682	4.0	4.0	0.0	2.5	2.5	0.0	0.5	0.0	-0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NumAnc	5.0	5.0	0.0	0.0	5.0	5.0	0.0	69	82	13.0	0.072463766	0.06097561	-0.0114881545	0.26115358	0.2407581	-0.020395473	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.5	-0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
