Class

Name	NumAttr	NumOps	NumPubOps	Setters	Getters	Nesting	IFImpl	NOC	NumDesc	NumAnc	DIT	CLD	OpsInh	AttrInh	Dep_Out	Dep_In	NumAssEl_ssc	NumAssEl_sb	NumAssEl_nsb	EC_Attr	IC_Attr	EC_Par	IC_Par	Connectors	InstSpec	LLInst	MsgSent	MsgRecv	MsgSelf	Diags
unitunes_class_gb.ExcluidorCadastros	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.CarteiraCreditos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Album	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Midia	9	0	0	0	0	0	0	4	4	0	0	1	0	0	0	0	2	2	0	0	0	8	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Academico	6	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	7	7	0	0	6	2	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Administrador	3	0	0	0	0	0	0	0	0	1	1	0	0	6	0	0	3	3	0	0	3	1	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.ComprovanteVenda	5	5	5	0	5	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Favoritos	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.ExcluidorMidias	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	2	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Musica	1	0	0	0	0	0	0	0	0	1	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Livro	1	0	0	0	0	0	0	0	0	1	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Video	1	0	0	0	0	0	0	0	0	1	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Podcast	1	0	0	0	0	0	0	0	0	1	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Minutos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.String	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	46	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.Usuario	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.BuscadorMidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.ReprodutorMidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.GerenciadorMidia	4	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	1	3	0	4	0	0	0	0.0	0.0	0	0
unitunes_class_gb.CompradorMidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.BaixadorMidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0
unitunes_class_gb.GerenciadorFavoritos	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0.0	0.0	0	0
